num, diff, time, interval, avg
3,27959006,1499864595,38,38
4,27945355,1499864623,28,33
5,27931710,1499864649,26,30.666666666666668
6,27945348,1499864652,3,23.75
7,27931703,1499864698,46,28.2
8,27945341,1499864706,8,24.833333333333332
9,27931696,1499864739,33,26
10,27918058,1499864767,28,26.25
11,27904427,1499864793,26,26.22222222222222
12,27918052,1499864799,6,24.2
13,27931683,1499864811,12,21.6
14,27945321,1499864813,2,19
15,27958966,1499864817,4,16.8
16,27972617,1499864821,4,16.9
17,27958959,1499864842,21,14.4
18,27945308,1499864858,16,15.2
19,27958953,1499864867,9,12.8
20,27945302,1499864885,18,11.8
21,27958947,1499864893,8,10
22,27972598,1499864898,5,9.9
23,27958940,1499864931,33,12
24,27972591,1499864935,4,12.2
25,27986249,1499864937,2,12
26,27972584,1499864957,20,13.6
27,27986242,1499864965,8,12.3
28,27999907,1499864973,8,11.5
29,28013578,1499864980,7,11.3
30,27999900,1499864996,16,11.1
31,28013571,1499865000,4,10.7
32,27999893,1499865021,21,12.3
33,28013564,1499865031,10,10
34,27999886,1499865050,19,11.5
35,28013557,1499865060,10,12.3
36,27999879,1499865074,14,11.7
37,28013550,1499865081,7,11.6
38,28027228,1499865092,11,11.9
39,28040913,1499865097,5,11.7
40,28027222,1499865120,23,12.4
41,28013537,1499865150,30,15
42,28027215,1499865161,11,14
43,28040900,1499865166,5,13.5
44,28054591,1499865171,5,12.1
45,28068289,1499865175,4,11.5
46,28054584,1499865188,13,11.4
47,28068282,1499865190,2,10.9
48,28081987,1499865194,4,10.2
49,28068276,1499865208,14,11.1
50,28081981,1499865212,4,9.2
51,28068270,1499865226,14,7.6
52,28081975,1499865228,2,6.7
53,28095686,1499865236,8,7
54,28109404,1499865238,2,6.7
55,28095679,1499865267,29,9.2
56,28109397,1499865274,7,8.6
57,28123122,1499865282,8,9.2
58,28136853,1499865283,1,8.9
59,28123115,1499865297,14,8.9
60,28136846,1499865301,4,8.9
61,28150584,1499865304,3,7.8
62,28136839,1499865319,15,9.1
63,28150577,1499865320,1,8.4
64,28136832,1499865336,16,9.8
65,28150570,1499865343,7,7.6
66,28136825,1499865365,22,9.1
67,28123087,1499865408,43,12.6
68,28136818,1499865419,11,13.6
69,28123080,1499865438,19,14.1
70,28136811,1499865446,8,14.5
71,28150549,1499865452,6,14.8
72,28164294,1499865457,5,13.8
73,28150542,1499865470,13,15
74,28136797,1499865487,17,15.1
75,28150535,1499865496,9,15.3
76,28164280,1499865501,5,13.6
77,28178032,1499865513,12,10.5
78,28191790,1499865525,12,10.6
79,28178025,1499865552,27,11.4
80,28164267,1499865570,18,12.4
81,28178019,1499865576,6,12.4
82,28191777,1499865579,3,12.2
83,28205542,1499865587,8,11.7
84,28191770,1499865609,22,12.2
85,28205535,1499865613,4,11.7
86,28219307,1499865620,7,11.9
87,28233085,1499865623,3,11
88,28219300,1499865637,14,11.2
89,28233078,1499865646,9,9.4
90,28219293,1499865678,32,10.8
91,28205515,1499865694,16,11.8
92,28191743,1499865717,23,13.8
93,28205508,1499865720,3,13.3
94,28191736,1499865733,13,12.4
95,28177971,1499865756,23,14.3
96,28191729,1499865763,7,14.3
97,28205494,1499865774,11,15.1
98,28191722,1499865791,17,15.4
99,28177957,1499865812,21,16.6
100,28191715,1499865818,6,14
101,28177950,1499865841,23,14.7
102,28164192,1499865855,14,13.8
103,28177944,1499865867,12,14.7
104,28191702,1499865870,3,13.7
105,28177937,1499865888,18,13.2
106,28191695,1499865898,10,13.5
107,28205460,1499865904,6,13
108,28219232,1499865913,9,12.2
109,28233010,1499865916,3,10.4
110,28246795,1499865927,11,10.9
111,28260587,1499865929,2,8.8
112,28274386,1499865938,9,8.3
113,28260581,1499865951,13,8.4
114,28274380,1499865956,5,8.6
115,28288185,1499865962,6,7.4
116,28301997,1499865970,8,7.2
117,28288178,1499865986,16,8.2
118,28301990,1499865991,5,7.8
119,28315809,1499865994,3,7.8
120,28301983,1499866014,20,8.7
121,28315802,1499866019,5,9
122,28329628,1499866023,4,8.5
123,28315796,1499866042,19,9.1
124,28329622,1499866048,6,9.2
125,28343454,1499866050,2,8.8
126,28357293,1499866053,3,8.3
127,28371139,1499866064,11,7.8
128,28384992,1499866066,2,7.5
129,28398851,1499866075,9,8.1
130,28412717,1499866078,3,6.4
131,28426590,1499866085,7,6.6
132,28440470,1499866091,6,6.8
133,28454356,1499866096,5,5.4
134,28440463,1499866121,25,7.3
135,28454349,1499866127,6,7.7
136,28440456,1499866153,26,10
137,28426570,1499866166,13,10.2
138,28412690,1499866195,29,12.9
139,28398817,1499866214,19,13.9
140,28412683,1499866217,3,13.9
141,28426556,1499866227,10,14.2
142,28440436,1499866232,5,14.1
143,28426550,1499866261,29,16.5
144,28440430,1499866262,1,14.1
145,28454316,1499866268,6,14.1
146,28468209,1499866270,2,11.7
147,28454309,1499866286,16,12
148,28440416,1499866300,14,10.5
149,28454302,1499866309,9,9.5
150,28468195,1499866314,5,9.7
151,28482095,1499866322,8,9.5
152,28496002,1499866333,11,10.1
153,28509916,1499866344,11,8.3
154,28523836,1499866352,8,9
155,28537763,1499866360,8,9.2
156,28523829,1499866393,33,12.3
157,28509902,1499866417,24,13.1
158,28495982,1499866463,46,16.3
159,28509896,1499866468,5,15.9
160,28523816,1499866472,4,15.8
161,28537743,1499866480,8,15.8
162,28551677,1499866487,7,15.4
163,28565618,1499866496,9,15.2
164,28579566,1499866507,11,15.5
165,28565612,1499866536,29,17.6
166,28551664,1499866558,22,16.5
167,28565605,1499866562,4,14.5
168,28579553,1499866565,3,10.2
169,28565599,1499866601,36,13.3
170,28579547,1499866604,3,13.2
171,28565593,1499866625,21,14.5
172,28579541,1499866628,3,14.1
173,28593495,1499866633,5,13.7
174,28607456,1499866635,2,12.8
175,28621424,1499866641,6,10.5
176,28607449,1499866678,37,12
177,28593481,1499866695,17,13.3
178,28607442,1499866696,1,13.1
179,28593474,1499866712,16,11.1
180,28607435,1499866716,4,11.2
181,28621403,1499866724,8,9.9
182,28635378,1499866726,2,9.8
183,28621396,1499866741,15,10.8
184,28635371,1499866746,5,11.1
185,28621389,1499866762,16,12.1
186,28635364,1499866763,1,8.5
187,28649346,1499866766,3,7.1
188,28663334,1499866770,4,7.4
189,28677329,1499866780,10,6.8
190,28663327,1499866793,13,7.7
191,28677322,1499866803,10,7.9
192,28691324,1499866805,2,7.9
193,28705333,1499866817,12,7.6
194,28691317,1499866836,19,9
195,28705326,1499866844,8,8.2
196,28691310,1499866867,23,10.4
197,28677301,1499866882,15,11.6
198,28663299,1499866905,23,13.5
199,28677294,1499866911,6,13.1
200,28663292,1499866935,24,14.2
201,28649297,1499866949,14,14.6
202,28635309,1499866962,13,15.7
203,28649291,1499866972,10,15.5
204,28635303,1499867010,38,17.4
205,28649285,1499867015,5,17.1
206,28635297,1499867028,13,16.1
207,28621315,1499867049,21,16.7
