num, diff, time, interval, avg
3,26960470,1498831382,37,37
4,26973634,1498831392,10,23.5
5,26960464,1498831423,31,26
6,26947300,1498831490,67,36.25
7,26934143,1498831522,32,35.4
8,26947294,1498831533,11,31.333333333333332
9,26934137,1498831551,18,29.428571428571427
10,26920986,1498831567,16,27.75
11,26934131,1498831571,4,25.11111111111111
12,26947282,1498831577,6,23.2
13,26934125,1498831592,15,21
14,26920974,1498831606,14,21.4
15,26934119,1498831615,9,19.2
16,26920968,1498831628,13,13.8
17,26934113,1498831637,9,11.5
18,26947264,1498831646,9,11.3
19,26960421,1498831649,3,9.8
20,26973585,1498831657,8,9
21,26986755,1498831668,11,9.7
22,26999932,1498831675,7,9.8
23,27013115,1498831681,6,8.9
24,26999926,1498831698,17,9.2
25,26986743,1498831712,14,9.7
26,26973566,1498831732,20,10.4
27,26986736,1498831739,7,10.2
28,26973559,1498831766,27,12
29,26986729,1498831767,1,11.8
30,26973552,1498831809,42,15.2
31,26986722,1498831821,12,15.3
32,26973545,1498831846,25,17.1
33,26960375,1498831877,31,19.6
34,26973539,1498831888,11,19
35,26986709,1498831895,7,18.3
36,26999886,1498831900,5,16.8
37,27013069,1498831909,9,17
38,26999880,1498831935,26,16.9
39,26986697,1498831948,13,18.1
40,26999874,1498831957,9,14.8
41,27013057,1498831960,3,13.9
42,27026246,1498831967,7,12.1
43,27039442,1498831976,9,9.9
44,27052644,1498831982,6,9.4
45,27039435,1498831998,16,10.3
46,27052637,1498832006,8,10.6
47,27065846,1498832009,3,10
48,27052631,1498832029,20,9.4
49,27039422,1498832059,30,11.1
50,27026220,1498832076,17,11.9
51,27039416,1498832087,11,12.7
52,27052618,1498832090,3,12.3
53,27065827,1498832095,5,11.9
54,27052612,1498832127,32,14.5
55,27039403,1498832152,25,15.4
56,27026201,1498832165,13,15.9
57,27039397,1498832172,7,16.3
58,27052599,1498832176,4,14.7
59,27065808,1498832181,5,12.2
60,27052593,1498832208,27,13.2
61,27065802,1498832210,2,12.3
62,27079017,1498832221,11,13.1
63,27092239,1498832224,3,12.9
64,27105467,1498832230,6,10.3
65,27118702,1498832242,12,9
66,27131943,1498832253,11,8.8
67,27145191,1498832257,4,8.5
68,27131937,1498832312,55,13.6
69,27118689,1498832340,28,15.9
70,27131930,1498832344,4,13.6
71,27145178,1498832347,3,13.7
72,27158432,1498832359,12,13.8
73,27145172,1498832372,13,14.8
74,27158426,1498832379,7,14.9
75,27171686,1498832384,5,14.2
76,27158419,1498832409,25,15.6
77,27171679,1498832411,2,15.4
78,27158412,1498832430,19,11.8
79,27145152,1498832450,20,11
80,27158406,1498832460,10,11.6
81,27171666,1498832465,5,11.8
82,27158399,1498832485,20,12.6
83,27145139,1498832503,18,13.1
84,27131885,1498832526,23,14.7
85,27145132,1498832531,5,14.7
86,27131878,1498832548,17,13.9
87,27145125,1498832558,10,14.7
88,27158379,1498832569,11,13.9
89,27171639,1498832580,11,13
90,27184906,1498832583,3,12.3
91,27171633,1498832632,49,16.7
92,27158366,1498832649,17,16.4
93,27171626,1498832655,6,15.2
94,27184893,1498832663,8,13.7
95,27198166,1498832669,6,13.8
96,27211446,1498832672,3,12.4
97,27198160,1498832712,40,15.4
98,27211440,1498832722,10,15.3
99,27198154,1498832771,49,19.1
100,27211434,1498832779,8,19.6
101,27224720,1498832782,3,15
102,27238013,1498832792,10,14.3
103,27224714,1498832809,17,15.4
104,27211421,1498832838,29,17.5
105,27198135,1498832861,23,19.2
106,27211415,1498832867,6,19.5
107,27224701,1498832874,7,16.2
108,27237994,1498832881,7,15.9
109,27251293,1498832886,5,11.5
110,27264599,1498832897,11,11.8
111,27277911,1498832899,2,11.7
112,27291230,1498832905,6,11.3
113,27277905,1498832926,21,11.7
114,27291224,1498832935,9,9.7
115,27277899,1498832953,18,9.2
116,27291218,1498832956,3,8.9
117,27304543,1498832965,9,9.1
118,27317875,1498832969,4,8.8
